Reference, Quantity, Value, Footprint, Datasheet, P/N
C1 ,1,100nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,885012207011
C2 ,1,100uF,Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,~,TPSC107M016R0200
J1 J2 ,2,Conn_01x02_Male,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,~,N/A
R1 R2 ,2,0/33,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,ERJ-6GEY0R00V / ERJ-6ENF33R0V
U2 ,1,ATtiny85-20SU,Package_SO:SOIC-8W_5.3x5.3mm_P1.27mm,http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf,ATTINY85-20SUR
